text,label
"ekstremde moka diye bir işlem var tanımıyorum",itiraz
"kartımdan 349 tl çekilmiş ama hiçbir şey almadım",itiraz
"hesabımdan izinsiz para çekildi ne yapmalıyım",itiraz
"bu moka ödemesi de ne ben alışveriş yapmadım",itiraz
"galiba dolandırıldım kartımdan çekim yapılmış",itiraz
"yanlışlıkla iki kere ödeme aldınız iade istiyorum",itiraz
"bir işleme itiraz etmek istiyorum",itiraz
"aynı ürün için iki kez para çekilmiş",itiraz
"aboneliğimi iptal ettim ama yine ücret kesildi",itiraz
"tanımadığım bir harcama görüyorum ekstremde",itiraz
"kredi kartı ekstremde moka yazan bir şey var bu nedir",itiraz
"param çekildi ama sipariş gelmedi",itiraz
"bugün hesabımdan 1200 lira gitmiş sebebini bilmiyorum",itiraz
"banka aradı şüpheli işlem dedi moka çıktı karşıma",itiraz
"iade sürecini başlatmak istiyorum",itiraz
"yaptığım bir ödemeyi geri almak istiyorum",itiraz
"kartımı kullanan olmuş sanırım çekim var",itiraz
"moka united üzerinden bir çekim olmuş tanımıyorum",itiraz
"ödediğim para hesabıma geri gelmedi siparişi iptal ettim",itiraz
"hatalı işlem yapıldı düzeltmek istiyorum",itiraz
"iki gündür kartımdan tuhaf çekimler oluyor",itiraz
"çocuğum bilmeden oyun içi harcama yapmış geri istiyorum",itiraz
"bu işlemi ben yapmadım şikayetçi olmak istiyorum",itiraz
"faturama yansıyan tanımadığım bir çekim var",itiraz
"yurt dışından bir işlem görünüyor ben yapmadım",itiraz
"abonelik iptal ettim ama para çekmeye devam ediyorsunuz",itiraz
"iki katı ücret alınmış tek sipariş verdim",itiraz
"kartımdan habersiz ödeme alınmış",itiraz
"hesap hareketlerimde tanımadığım moka işlemi var",itiraz
"sipariş iptal oldu ama param iade edilmedi",itiraz
"yanlış tutar çekilmiş fazlasını geri istiyorum",itiraz
"dolandırıcılık şüphesi var kartımda çekim gördüm",itiraz
"bir üyelik için para kesilmiş ben üye değilim",itiraz
"tanımadığım işleme itiraz nasıl yapılır",itiraz
"ekstreme bakınca moka diye bir çekim gördüm korktum",itiraz
"param boşuna gitti hizmeti alamadım geri istiyorum",itiraz
"çift çekim olmuş birini iade eder misiniz",itiraz
"kartımdan çekilen parayı geri almak istiyorum",itiraz
"bu ne ödemesi hiç hatırlamıyorum böyle bir alışveriş",itiraz
"izinsiz abonelik ücreti kesilmiş iptal ve iade istiyorum",itiraz
"moka store diye bir işlem çıktı tanımıyorum",itiraz
"sabah baktım hesabımdan sebepsiz para eksilmiş",itiraz
"yaptığım alışverişi iptal ettim ama iade gelmedi",itiraz
"tanımadığım tutarda çekim var itiraz edeceğim",itiraz
"kart bilgilerim çalınmış olabilir çekim gördüm",itiraz
"bir işlem iki defa görünüyor ekstremde",itiraz
"ürün gelmedi ama para çekildi iade lazım",itiraz
"hesabımdan yetkisiz işlem yapılmış",itiraz
"moka ödemesi diye bir şey var açıklaması yok bu ne",itiraz
"deneme üyeliği aldım iptal etmeme rağmen ücretlendim",itiraz
"yanlış hesaptan çekim yapılmış düzeltilsin",itiraz
"kartımdan çekim var ama kesinlikle satın alma yapmadım",itiraz
"iade talebimi nasıl iletebilirim",itiraz
"bilmediğim bir siteye kartımdan ödeme gitmiş",itiraz
"çekilen ücret hatalı fark iadesi istiyorum",itiraz
"tanımadığım işlem için ters ibraz yapmak istiyorum",itiraz
"hesap ekstresinde moka yazıyor ne olduğunu bilmiyorum",itiraz
"param çekildi hizmet verilmedi şikayetçiyim",itiraz
"sürekli küçük tutarlarda çekim oluyor tanımıyorum",itiraz
"bir alışveriş yapmadım ama moka çekimi görünüyor",itiraz
"iki farklı işlem aynı anda yanlışlıkla çekilmiş",itiraz
"iade sürem geçmeden iptal ettim ama para dönmedi",itiraz
"kartımdan bir abonelik ücreti gidiyor iptal edin",itiraz
"tanımadığım harcamayı geri almak için ne yapmalıyım",itiraz
"bankam moka ile görüşün dedi çekim hakkında",itiraz
"yetkisiz işlem gördüm hemen çözmek istiyorum",itiraz
"yanlışlıkla fazla ödeme yaptım geri alabilir miyim",itiraz
"moka üzerinden şüpheli çekim var ne yapmalıyım",itiraz
"ekstreme düşen tanımadığım bir tutar var",itiraz
"ödediğim parayı iade almak istiyorum ürün kusurlu çıktı",itiraz
"üye işyeri olmak istiyorum nasıl başvurabilirim",diger
"komisyon oranlarınız ne kadar",diger
"sanal pos entegrasyonu nasıl yapılıyor",diger
"api dokümantasyonunuz nerede",diger
"işletmem için ödeme altyapısı arıyorum",diger
"çalışma saatleriniz nedir",diger
"müşteri hizmetleri numaranız kaç",diger
"iş başvurusu yapmak istiyorum kariyer sayfanız nerede",diger
"moka united tam olarak ne iş yapıyor",diger
"hangi bankalarla çalışıyorsunuz",diger
"taksit seçenekleri sunuyor musunuz",diger
"ödeme linki nasıl oluşturulur",diger
"entegrasyon için teknik destek alabilir miyim",diger
"şirketiniz nerede kurulu",diger
"mağazam için sanal pos başvurusu yapmak istiyorum",diger
"fiyatlandırma paketleriniz neler",diger
"yazılımcıyım entegrasyon dokümanı istiyorum",diger
"kampanyalarınız hakkında bilgi almak istiyorum",diger
"teşekkür ederim çok yardımcı oldunuz",diger
"sağ olun iyi günler",diger
"web sitenizde bir hata var bildirmek istedim",diger
"ürünlerinizi merak ediyorum tanıtım var mı",diger
"hangi ödeme yöntemlerini destekliyorsunuz",diger
"e-ticaret sitem için pos lazım",diger
"sözleşme şartlarınızı görebilir miyim",diger
"bayilik veriyor musunuz",diger
"reklam teklifi için kiminle görüşmeliyim",diger
"mobil uygulamanız var mı",diger
"işletmem için yeni hesap açmak istiyorum",diger
"faturalarımı işyeri panelinden nereden görebilirim",diger
"destek ekibinize nasıl ulaşırım",diger
"mutabakat raporları nasıl alınır",diger
"günaydın genel olarak bir bilgi almak istiyorum",diger
"entegrasyon ücreti var mı",diger
"hangi para birimlerini destekliyorsunuz",diger
"kurumsal satış ekibiyle görüşmek istiyorum",diger
"staj imkanınız var mı",diger
"panelime giriş yapamıyorum şifremi unuttum",diger
"yeni özellikleriniz neler",diger
"ödeme sayfasını özelleştirebilir miyim",diger
"referanslarınız kimler hangi firmalar kullanıyor",diger
"sözleşme yenileme hakkında bilgi almak istiyorum",diger
"test ortamı sağlıyor musunuz",diger
"webhook kurulumu nasıl yapılır",diger
"merhaba işletmem için fiyat teklifi almak istiyorum",diger
"ürün demosu talep edebilir miyim",diger
"kaç yıldır faaliyettesiniz",diger
"tekliflerinizi görmek istiyorum",diger
"yeni ürün lansmanınızı duydum detay var mı",diger
"iyi çalışmalar dilerim",diger
"bültene abone olmak istiyorum",diger
"basın ile ilgili kiminle iletişime geçmeliyim",diger
"işyeri hesabıma pos cihazı eklemek istiyorum",diger
"sizinle çalışmak isteyen bir kobiyim",diger
"entegrasyon test anahtarı nasıl alınır",diger
"mağaza panelinde raporları göremiyorum",diger
"yardım dokümanlarınız nerede",diger
"selam genel bir merak ne iş yapıyorsunuz",diger
"ödeme aldığımda para hesabıma ne zaman geçer",diger
"valör süresi kaç gün",diger
"yeni şube açıyorum pos başvurusu yapacağım",diger
"kurumsal fatura kesebiliyor musunuz",diger
"hangi sektörlere hizmet veriyorsunuz",diger
"teşekkürler bilgi için yeterli oldu",diger
"ödeme çözümleriniz hakkında sunum alabilir miyim",diger
"merhaba",belirsiz
"selam",belirsiz
"yardım eder misiniz",belirsiz
"bir sorum olacaktı",belirsiz
"acil bir durum var",belirsiz
"bir sorun yaşıyorum",belirsiz
"bilgi almak istiyorum",belirsiz
"yardıma ihtiyacım var",belirsiz
"merhaba bir konuda destek lazım",belirsiz
"alo kimse var mı",belirsiz
"size bir şey soracaktım",belirsiz
"konuşabilir miyiz",belirsiz
"sıkıntı yaşıyorum yardımcı olun",belirsiz
"bir durumu anlatmak istiyorum",belirsiz
"ne yapmam gerektiğini bilmiyorum",belirsiz
"destek almak istiyorum",belirsiz
"bir problemim var",belirsiz
"yardımcı olur musunuz lütfen",belirsiz
"acaba yardımcı olabilir misiniz",belirsiz
"merhaba orada mısınız",belirsiz
"bir şey danışacaktım",belirsiz
"kafam çok karışık yardım lazım",belirsiz
"selamlar bir konu hakkında yazıyorum",belirsiz
"mesaj atabiliyor muyum",belirsiz
"bir sıkıntı var da",belirsiz
"yardım",belirsiz
"iyi günler bir konuda yazıyorum",belirsiz
"bana yardımcı olabilecek biri var mı",belirsiz
"sorun yaşadım ne yapmalıyım",belirsiz
"bir şeye bakabilir misiniz",belirsiz
"merhabalar bilgi rica edecektim",belirsiz
"çok acil lütfen",belirsiz
"bir durum var da nasıl anlatsam",belirsiz
"yardım isteyecektim",belirsiz
"bir konu hakkında konuşmak istiyorum",belirsiz
"buradan destek alabiliyor muyum",belirsiz
"selam bir şey soracağım",belirsiz
"anlamadığım bir durum var",belirsiz
"ne yapacağımı şaşırdım",belirsiz
"merhaba yardım lazım acil",belirsiz
"bir şey oldu da",belirsiz
"size ulaşabildim mi",belirsiz
"yardımınıza ihtiyacım var",belirsiz
"hızlıca bir şey sorabilir miyim",belirsiz
"galiba bir sorun var",belirsiz
"bir konuda kararsızım",belirsiz
"destek hattı burası mı",belirsiz
"merhaba bana bir bilgi lazım",belirsiz
"şey soracaktım",belirsiz
"pardon rahatsız ediyorum ama",belirsiz
"bir yardım rica edeceğim",belirsiz
"bir konunun aciliyeti var",belirsiz
"merhaba bir sorunum olacak",belirsiz
"yardım edin lütfen ne yapacağımı bilmiyorum",belirsiz
